,id,sales,best_smape_test,best_model,model_exp,model_ml,feature_drop,smape_holt_test,smape_holt_train,smape_holt,smape_winter_test,smape_winter_train,smape_winter,xgboost_test,svr_test,xgboost_train,svr_train,xgboost_all,svr_all
26,16014960,241.0,11.655304155304155,ML,Winter's,xgboost,"['employee_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",34.78862283549783,26.69079904374022,29.13542509408214,10.060399159663866,15.541357902039016,13.886728847737084,5.943509615384615,6.227600524475524,11.655304155304155,12.010335539747304,9.930988822498254,10.264604214382238
27,16014961,498.0,10.280971663370234,ML,Holt's,xgboost,"['employee_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",6.303872479859321,12.667902957101997,10.746686209255152,16.402611625544978,27.086259183782403,23.861007090729597,6.23644994888601,5.471403274228352,10.280971663370234,11.040812620579613,9.059983975978772,9.359481497152817
28,16015156,549.0,5.569108069108069,ML,Holt's,xgboost,['holiday_nums'],13.451734386936593,8.332559943696186,9.877971096372535,21.18284493284493,21.57577547423143,21.457154933435508,13.644484107846178,13.6641152492967,5.569108069108069,7.591447207834541,8.006957439293158,9.424705484502363
29,16018212,102.0,6.76962676962677,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums']",44.375,38.55855855855855,40.314465408805034,15.446428571428573,16.813111813111814,16.40052819298102,8.333333333333332,8.333333333333332,6.76962676962677,8.657228657228657,7.241689128481581,8.559448936807428
30,16020360,284.0,6.981996981996982,ML,Holt's,xgboost,"['employee_nums', 'price']",7.7444083694083705,15.06425992494104,12.85449341761042,7.843614718614719,16.692655788765627,14.02124716381441,6.309523809523809,28.988095238095234,6.981996981996982,24.795210971681552,6.778986212948476,26.060987353995124
31,16021668,317.0,9.895007787725515,ML,Winter's,xgboost,"['price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",7.934027777777779,15.624868096230324,13.303104981225783,6.892361111111112,13.14037692752863,11.254183473515793,6.04301948051948,6.734792984792984,9.895007787725515,12.647941119303347,8.73214339309728,10.862839795677578
32,16024490,620.0,14.59171289862523,Exp,Winter's,xgboost,"['employee_nums', 'holiday_nums']",18.298420329670325,17.79465249002866,17.946733347278975,15.969843065431299,14.59171289862523,15.007752194264798,24.415914033077346,23.85215761405777,14.710579543165458,15.549493220794636,17.640491842006785,18.055957943289165
33,16027746,181.0,2.9858429858429862,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums']",12.242063492063494,9.882624882624883,10.59490823641767,13.700396825396824,8.255311939522466,9.89911115035246,4.166666666666666,4.166666666666666,2.9858429858429862,3.856713856713857,3.342318059299191,3.950284516322252
34,16030580,513.0,5.457416633887223,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums', 'price']",7.387883766560237,8.730045963204926,8.324864922708416,8.844607190195426,11.495154822289912,10.694989499393463,6.944126135302605,7.1488519650284355,5.457416633887223,7.7165375694787475,5.906234596578658,7.545160783229596
35,16030584,417.0,6.302016302016303,ML,Winter's,xgboost,"['employee_nums', 'holiday_nums', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",9.248553654004422,9.830412472329765,9.654756980005134,7.408863183799245,7.91904233362837,7.765025986510145,5.0243055555555545,3.795498084291187,6.302016302016303,7.189908598937326,5.916292303084756,6.165180896402643
36,16030585,1266.0,5.646795963402222,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums']",7.123719777178862,7.347390690910789,7.279867396199263,6.5480015128323386,9.03564827759433,8.28466057502467,7.907190469724068,7.970058371626008,5.646795963402222,6.738794410338134,6.329179210593723,7.110496738274097
37,16030588,555.0,5.515559199769726,ML,Winter's,xgboost,"['price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",18.77055491263275,16.116230810166737,16.917536199590437,10.818712537462538,14.864867093969261,13.643386473137042,19.825184144530734,23.932149971407775,5.515559199769726,21.266402377083494,9.835445975546635,22.071156367822898
38,16030589,658.0,9.0663902621856,ML,Holt's,xgboost,"['employee_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",12.777541618654151,10.122184472097558,10.923801723888223,15.799601500032534,11.181618827958195,12.575726804433469,10.015289340127174,16.346521102788117,9.0663902621856,12.561756837908176,9.352850361186828,13.704327182022876
39,16030590,893.0,7.282884248492001,ML,Winter's,xgboost,"['event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",11.664644529113877,11.019056896189246,11.213951275940076,7.590615163939593,10.475988514527318,9.604932408689516,6.395555898155643,8.51947348795448,7.282884248492001,14.55271417977834,7.015011538956497,12.73135849922774
40,16030593,339.0,4.157014157014157,ML,Winter's,xgboost,"['price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",15.260225885225886,12.41046741046741,13.270771855677516,6.727366469529781,9.21682539329598,8.465290623857129,4.592914438502673,4.819240196078431,4.157014157014157,5.4970854970854965,4.288606694822011,5.29245295338525
41,16031893,122.0,0.0,ML,Holt's,xgboost,no,2.1640859140859146,1.370392546863135,1.6099980916851058,9.246066433566433,16.86588804235863,14.565564537817593,0.9090909090909091,0.0,0.0,0.2702702702702703,0.27444253859348194,0.18867924528301888
42,16040059,515.0,8.28434847868368,ML,Winter's,xgboost,"['holiday_nums', 'price']",15.713259371347608,13.334811687041622,14.052833629473618,13.397082900759372,10.34053506963724,11.263266490353354,13.347187942776179,13.892212770889243,8.28434847868368,9.118638685202153,9.812752845202171,10.559717654466178
43,16040060,651.0,9.341830358084227,ML,Winter's,xgboost,"['employee_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",17.273193953024474,12.994524683178382,14.286198425018712,10.798359686290722,10.228807508344286,10.400747788479059,10.62697239443563,11.831296301205189,9.341830358084227,12.327061967003992,9.72979776528465,12.17739686034775
44,16040867,221.0,2.8212628212628212,ML,Holt's,xgboost,"['holiday_nums', 'price', 'event_0', 'event_1', 'event_2', 'event_3', 'event_4', 'event_5', 'event_6']",8.239087301587302,6.600820350820352,7.095391505768865,10.928932178932179,13.635452385452385,12.818389681597228,1.0416666666666665,1.0416666666666665,2.8212628212628212,3.046488046488046,2.2840262462903973,2.4412589506929128
45,16043915,321.0,5.347505347505348,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums', 'price']",15.199461996336996,9.837902337902339,11.456486385731669,10.742538711288711,11.435441435441437,11.226263254565138,12.664280164280164,10.340562215562215,5.347505347505348,9.930887430887429,7.556343028041142,10.054562837581706
46,16045629,1051.0,2.4176878245339246,ML,Winter's,xgboost,"['holiday_nums', 'price']",6.169655721924939,11.629268319226268,9.981083384191905,11.711858362887515,9.283004396006064,10.016243329404237,20.382168353415533,32.46178380056444,2.4176878245339246,8.023077183412486,7.840927229479316,15.400799935760245
47,16045637,161.0,4.53024453024453,ML,Holt's,xgboost,"['employee_nums', 'holiday_nums', 'price']",13.663003663003664,13.372700220526305,13.46033899561381,13.067765567765566,16.109722957549046,15.191396198369128,8.541666666666666,8.541666666666666,4.53024453024453,7.052767052767053,5.741239892183289,7.502246181491465
